Case ID,Assign seriousness,Closed,Create SW anomaly,DUPLICATE,INVALID,Insert ticket,RESOLVED,Require upgrade,Resolve SW anomaly,Resolve ticket,Schedule intervention,Take in charge ticket,VERIFIED,Wait
Case 1,2012-10-09 14:50:17,2012-11-09 12:54:39,,,,,,,,2012-10-25 11:54:26,,2012-10-09 14:51:01,,
Case 10,2010-02-10 08:50:20,2010-04-03 07:47:38,,,,,,,,2010-03-19 08:47:13,,2010-03-19 08:47:06,,
Case 100,2013-04-12 10:25:17,2013-05-30 13:21:20,,,,,,2013-04-24 15:51:11,,2013-05-15 13:21:00,,2013-04-24 10:24:01,,
Case 1000,2010-01-21 08:53:28,2010-03-06 09:00:57,,,,,,,,2010-01-26 14:06:53,,2010-01-21 08:53:40,,
Case 1001,2013-03-08 17:01:24,2013-04-12 09:31:36,,,,,,,,2013-03-28 10:31:21,,2013-03-25 08:08:33,,
Case 1002,2010-08-25 10:36:10,2010-09-25 10:40:32,,,,,,,,2010-08-27 08:42:25,,2010-08-27 07:34:45,,
Case 1003,2010-12-23 11:23:52,2011-02-04 10:59:20,,,,,,,,2011-01-20 10:59:03,,2011-01-11 07:55:50,,
Case 1004,2011-09-21 07:09:20,2011-10-22 07:10:49,,,,,,,,2011-09-27 10:29:02,,2011-09-26 08:52:05,,
Case 1005,2010-12-22 08:35:14,2011-02-18 08:40:43,,,,,,,,2011-01-13 14:26:36,,2010-12-22 08:49:10,,
Case 1006,2010-01-22 11:09:40,2010-03-11 11:10:33,,,,,,,,2010-01-22 11:09:59,,2010-01-22 11:09:51,,
Case 1007,2012-10-10 10:47:41,2012-11-27 08:37:28,,,,,,,,2012-11-12 08:37:18,,2012-10-25 10:23:49,,
Case 1008,2011-10-25 14:35:19,2011-12-08 15:40:25,,,,,,,,2011-11-03 09:37:15,,2011-10-26 07:19:46,,
Case 1009,2012-05-18 12:11:25,2012-06-28 14:10:31,,,,,,,,2012-05-22 07:53:06,,2012-05-18 14:23:17,,2012-05-18 15:07:29
Case 101,2010-06-18 14:18:15,2010-08-05 13:50:24,,,,2010-06-18 13:47:15,,,,2010-06-29 08:33:07,,2010-06-29 07:35:47,,
Case 1010,2013-06-21 07:11:34,2013-08-01 15:39:11,,,,,,2013-06-28 10:12:09,,2013-07-17 15:38:54,,2013-06-24 10:06:24,,
Case 1011,2011-09-06 15:44:32,2011-10-22 15:40:25,,,,2011-09-06 15:37:27,,,,2011-09-06 15:55:58,,2011-09-06 15:44:54,,
Case 1012,2010-05-25 15:14:28,2010-06-26 15:20:26,,,,,,,,2010-05-28 15:38:45,,2010-05-28 15:38:09,,
Case 1013,2011-11-30 16:32:54,2012-01-13 16:40:37,,,,,,,,2011-12-12 16:50:49,,,,
Case 1014,2010-12-28 10:41:06,2011-01-28 16:55:37,,,,,,,,2011-01-13 16:55:17,,2010-12-30 08:50:44,,2010-12-30 08:51:13
Case 1015,2012-02-10 14:44:10,2012-03-14 14:50:15,,,,,,,,2012-02-15 11:07:17,,2012-02-10 15:48:04,,
Case 1016,2011-04-13 07:43:01,2011-06-11 07:50:56,,,,,,,,2011-04-13 14:57:33,,2011-04-13 07:45:30,,
Case 1017,2012-09-07 12:24:46,2012-10-17 07:03:17,,,,,,,,2012-10-02 07:03:02,,2012-09-10 09:51:17,,2012-09-17 09:56:36
Case 1018,2010-09-16 09:03:22,2010-11-05 09:24:51,,,,,,,,2010-09-21 08:24:19,,2010-09-16 09:48:31,,
Case 1019,2013-02-14 15:35:55,2013-03-19 10:43:39,,,,,,,,2013-03-04 10:43:19,,2013-03-04 08:12:43,,2013-03-04 08:33:32
Case 102,2012-01-30 09:09:29,2012-03-16 09:12:11,,,,,,,,2012-01-31 08:12:06,,2012-01-30 09:09:57,,
Case 1020,2012-05-15 08:09:38,2012-07-06 13:30:28,,,,,,,,2012-06-04 10:49:46,,2012-05-15 08:09:57,,2012-05-28 15:21:32
Case 1021,2010-05-18 14:59:36,2010-06-25 15:01:30,,,,,,,,2010-05-20 10:17:39,,2010-05-19 08:08:06,,
Case 1022,2012-01-05 16:55:40,2012-02-07 17:00:35,,,,,,,,2012-01-12 10:39:39,,2012-01-11 11:59:45,,
Case 1023,2013-03-12 09:39:30,2013-04-12 12:15:06,,,,,,,,2013-03-28 13:14:48,,,,
Case 1024,2011-07-14 07:22:19,2011-08-20 07:31:38,,,,,,,,2011-07-18 08:33:09,,2011-07-15 12:44:17,,
Case 1025,2011-03-18 09:41:58,2011-05-05 15:42:36,,,,,,,,2011-04-20 15:42:20,,2011-03-18 09:42:34,,2011-03-25 14:24:59
Case 1026,2013-05-13 15:56:12,2013-06-19 16:05:00,,,,,,2013-05-20 08:38:03,,2013-06-04 16:04:46,,2013-05-20 08:37:45,,
Case 1027,2013-04-16 13:36:13,2013-05-30 09:33:30,,,,,,,,2013-05-15 09:33:16,,2013-04-29 08:23:18,,2013-04-29 15:18:01
Case 1028,2010-12-28 08:31:42,2011-01-29 10:46:26,,,,,,,,2011-01-14 10:46:06,,2011-01-14 10:45:45,,
Case 1029,2012-05-09 09:25:28,2012-06-09 09:30:28,,,,,,,,2012-05-09 13:40:52,,2012-05-09 13:22:38,,
Case 103,2010-06-07 07:30:54,2010-07-16 09:23:33,2010-06-09 07:18:28,,,,,,,2010-06-16 09:23:07,,2010-06-07 15:16:44,,2010-06-08 10:37:29
Case 1030,2010-02-04 09:40:52,2010-03-09 14:05:44,2010-02-04 09:41:33,,,,,,,2010-02-22 14:05:31,,2010-02-04 09:41:23,,
Case 1031,2011-02-24 13:41:36,2011-04-15 14:50:58,,,,,,,,2011-03-25 09:54:11,,2011-02-24 13:41:54,,2011-03-07 16:53:23
Case 1032,2012-04-11 15:07:25,2012-06-01 15:20:26,,,,,,,,2012-05-15 12:31:57,,2012-04-11 15:07:34,,2012-04-17 12:29:31
Case 1033,2011-11-10 08:25:05,2011-12-29 11:10:47,,,,,,,,2011-12-12 09:40:33,,2011-11-18 11:29:26,,2011-11-23 16:07:21
Case 1034,2011-12-13 08:22:23,2012-01-13 08:30:30,,,,,,,,2011-12-13 11:50:30,,2011-12-13 08:27:18,,
Case 1035,2010-12-20 13:19:58,2011-01-21 16:58:17,,,,,,,,2010-12-22 16:58:03,,2010-12-20 16:42:50,,2010-12-21 08:59:57
Case 1036,2012-05-29 15:38:19,2012-06-30 07:41:01,,,,,,,,2012-06-01 12:40:27,,2012-05-29 15:38:27,,2012-05-30 14:35:37
Case 1037,2011-10-24 10:11:15,2011-12-09 11:20:28,,,,,,,,2011-10-24 11:02:57,,2011-10-24 10:19:04,,
Case 1038,2012-07-24 15:29:40,2012-09-01 08:14:01,,,,,,,,2012-07-25 13:53:33,,2012-07-25 13:33:25,,
Case 1039,2012-06-28 10:14:33,2012-07-31 10:20:39,,,,,,,,2012-06-29 14:35:15,,2012-06-28 10:55:42,,
Case 104,2011-01-27 08:34:59,2011-03-05 08:42:36,,,,,,,,2011-01-27 09:34:24,,2011-01-27 09:32:40,,
Case 1040,2012-02-20 08:07:43,2012-04-04 07:10:38,,,,,,,,2012-02-21 16:35:15,,2012-02-20 08:07:57,,
Case 1041,2012-05-02 10:44:47,2012-06-09 10:50:29,,,,,,,,2012-05-08 08:37:30,,2012-05-02 10:44:54,,
Case 1042,2012-05-23 08:22:52,2012-06-23 08:30:21,,,,,,,,2012-05-23 14:24:29,,2012-05-23 10:07:38,,
Case 1043,2012-11-15 08:29:06,2013-01-01 09:28:46,,,,,,,,2012-12-17 09:28:26,,2012-11-19 15:26:43,,2012-11-22 16:04:35
