Case ID,Complete Timestamp,Activity,Case ID_2,Complete Timestamp_2,Activity_2,Connection
Case 1,2012-10-09 14:50:17,Assign seriousness,Case 1,2012-10-09 14:51:01,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1,2012-10-09 14:51:01,Take in charge ticket,Case 1,2012-10-12 15:02:56,Take in charge ticket,Take in charge ticket --> Take in charge ticket
Case 1,2012-10-12 15:02:56,Take in charge ticket,Case 1,2012-10-25 11:54:26,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1,2012-10-25 11:54:26,Resolve ticket,Case 1,2012-11-09 12:54:39,Closed,Resolve ticket --> Closed
Case 10,2010-02-10 08:50:20,Assign seriousness,Case 10,2010-03-19 08:47:06,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 10,2010-03-19 08:47:06,Take in charge ticket,Case 10,2010-03-19 08:47:13,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 10,2010-03-19 08:47:13,Resolve ticket,Case 10,2010-04-03 07:47:38,Closed,Resolve ticket --> Closed
Case 100,2013-04-12 10:25:17,Assign seriousness,Case 100,2013-04-24 10:24:01,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 100,2013-04-24 10:24:01,Take in charge ticket,Case 100,2013-04-24 15:51:11,Require upgrade,Take in charge ticket --> Require upgrade
Case 100,2013-04-24 15:51:11,Require upgrade,Case 100,2013-05-15 13:21:00,Resolve ticket,Require upgrade --> Resolve ticket
Case 100,2013-05-15 13:21:00,Resolve ticket,Case 100,2013-05-30 13:21:20,Closed,Resolve ticket --> Closed
Case 1000,2010-01-21 08:53:28,Assign seriousness,Case 1000,2010-01-21 08:53:34,Assign seriousness,Assign seriousness --> Assign seriousness
Case 1000,2010-01-21 08:53:34,Assign seriousness,Case 1000,2010-01-21 08:53:40,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1000,2010-01-21 08:53:40,Take in charge ticket,Case 1000,2010-01-26 14:06:53,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1000,2010-01-26 14:06:53,Resolve ticket,Case 1000,2010-03-06 09:00:57,Closed,Resolve ticket --> Closed
Case 1001,2013-03-08 17:01:24,Assign seriousness,Case 1001,2013-03-25 08:08:33,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1001,2013-03-25 08:08:33,Take in charge ticket,Case 1001,2013-03-28 10:31:21,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1001,2013-03-28 10:31:21,Resolve ticket,Case 1001,2013-04-12 09:31:36,Closed,Resolve ticket --> Closed
Case 1002,2010-08-25 10:36:10,Assign seriousness,Case 1002,2010-08-27 07:34:45,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1002,2010-08-27 07:34:45,Take in charge ticket,Case 1002,2010-08-27 08:42:25,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1002,2010-08-27 08:42:25,Resolve ticket,Case 1002,2010-09-25 10:40:32,Closed,Resolve ticket --> Closed
Case 1003,2010-12-23 11:23:52,Assign seriousness,Case 1003,2011-01-11 07:55:50,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1003,2011-01-11 07:55:50,Take in charge ticket,Case 1003,2011-01-20 10:59:03,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1003,2011-01-20 10:59:03,Resolve ticket,Case 1003,2011-02-04 10:59:20,Closed,Resolve ticket --> Closed
Case 1004,2011-09-21 07:09:20,Assign seriousness,Case 1004,2011-09-26 08:52:05,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1004,2011-09-26 08:52:05,Take in charge ticket,Case 1004,2011-09-27 10:29:02,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1004,2011-09-27 10:29:02,Resolve ticket,Case 1004,2011-10-22 07:10:49,Closed,Resolve ticket --> Closed
Case 1005,2010-12-22 08:35:14,Assign seriousness,Case 1005,2010-12-22 08:49:10,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1005,2010-12-22 08:49:10,Take in charge ticket,Case 1005,2011-01-13 14:26:36,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1005,2011-01-13 14:26:36,Resolve ticket,Case 1005,2011-02-18 08:40:43,Closed,Resolve ticket --> Closed
Case 1006,2010-01-22 11:09:40,Assign seriousness,Case 1006,2010-01-22 11:09:51,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1006,2010-01-22 11:09:51,Take in charge ticket,Case 1006,2010-01-22 11:09:59,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1006,2010-01-22 11:09:59,Resolve ticket,Case 1006,2010-03-11 11:10:33,Closed,Resolve ticket --> Closed
Case 1007,2012-10-10 10:47:41,Assign seriousness,Case 1007,2012-10-25 10:23:49,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1007,2012-10-25 10:23:49,Take in charge ticket,Case 1007,2012-11-12 08:37:18,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1007,2012-11-12 08:37:18,Resolve ticket,Case 1007,2012-11-27 08:37:28,Closed,Resolve ticket --> Closed
Case 1008,2011-10-25 14:35:19,Assign seriousness,Case 1008,2011-10-26 07:19:46,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1008,2011-10-26 07:19:46,Take in charge ticket,Case 1008,2011-11-03 09:37:15,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1008,2011-11-03 09:37:15,Resolve ticket,Case 1008,2011-12-08 15:40:25,Closed,Resolve ticket --> Closed
Case 1009,2012-05-18 12:11:25,Assign seriousness,Case 1009,2012-05-18 14:23:17,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1009,2012-05-18 14:23:17,Take in charge ticket,Case 1009,2012-05-18 15:07:29,Wait,Take in charge ticket --> Wait
Case 1009,2012-05-18 15:07:29,Wait,Case 1009,2012-05-22 07:53:06,Resolve ticket,Wait --> Resolve ticket
Case 1009,2012-05-22 07:53:06,Resolve ticket,Case 1009,2012-06-28 14:10:31,Closed,Resolve ticket --> Closed
Case 101,2010-06-18 13:47:15,Insert ticket,Case 101,2010-06-18 14:18:15,Assign seriousness,Insert ticket --> Assign seriousness
Case 101,2010-06-18 14:18:15,Assign seriousness,Case 101,2010-06-29 07:35:47,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 101,2010-06-29 07:35:47,Take in charge ticket,Case 101,2010-06-29 08:33:07,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 101,2010-06-29 08:33:07,Resolve ticket,Case 101,2010-08-05 13:50:24,Closed,Resolve ticket --> Closed
Case 1010,2013-06-21 07:11:34,Assign seriousness,Case 1010,2013-06-24 10:06:24,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1010,2013-06-24 10:06:24,Take in charge ticket,Case 1010,2013-06-28 10:12:09,Require upgrade,Take in charge ticket --> Require upgrade
Case 1010,2013-06-28 10:12:09,Require upgrade,Case 1010,2013-07-17 15:38:54,Resolve ticket,Require upgrade --> Resolve ticket
Case 1010,2013-07-17 15:38:54,Resolve ticket,Case 1010,2013-08-01 15:39:11,Closed,Resolve ticket --> Closed
Case 1011,2011-09-06 15:37:27,Insert ticket,Case 1011,2011-09-06 15:44:32,Assign seriousness,Insert ticket --> Assign seriousness
Case 1011,2011-09-06 15:44:32,Assign seriousness,Case 1011,2011-09-06 15:44:54,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1011,2011-09-06 15:44:54,Take in charge ticket,Case 1011,2011-09-06 15:55:58,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1011,2011-09-06 15:55:58,Resolve ticket,Case 1011,2011-10-22 15:40:25,Closed,Resolve ticket --> Closed
Case 1012,2010-05-25 15:14:28,Assign seriousness,Case 1012,2010-05-28 15:38:09,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1012,2010-05-28 15:38:09,Take in charge ticket,Case 1012,2010-05-28 15:38:45,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1012,2010-05-28 15:38:45,Resolve ticket,Case 1012,2010-06-26 15:20:26,Closed,Resolve ticket --> Closed
